Tarjan,
n,Time(ms),File,
9666,4.39,./Data/California.mtx,
4774,0.778,./Data/EPA.mtx,
8499,1.093,./Data/EVA.mtx,
40,0.005,./Data/GD98_a.mtx,
107,0.016,./Data/GD99_c.mtx,
74,0.014,./Data/GlossGT.mtx,
27772,7.51,./Data/HEP-th-new.mtx,
27242,5.999,./Data/HEP-th.mtx,
13,0.002,./Data/Tina_AskCal.mtx,
9916,1.033,./Data/wb-cs-stanford.mtx,
Kosaraju,
n,Time(ms),File,
9666,0.961,./Data/California.mtx,
4774,0.424,./Data/EPA.mtx,
8499,0.706,./Data/EVA.mtx,
40,0.002,./Data/GD98_a.mtx,
107,0.011,./Data/GD99_c.mtx,
74,0.01,./Data/GlossGT.mtx,
27772,6.87,./Data/HEP-th-new.mtx,
27242,6.132,./Data/HEP-th.mtx,
13,0.001,./Data/Tina_AskCal.mtx,
9916,1.153,./Data/wb-cs-stanford.mtx,
